text,reading,rank
内緒,ないしょ,4052
到達,とうたつ,4055
一件,いっけん,4056
装置,そうち,4059
教授,きょうじゅ,4060
衝動,しょうどう,4062
親切,しんせつ,4064
再度,さいど,4075
逮捕,たいほ,4077
名誉,めいよ,4080
横目,よこめ,4084
医師,いし,4086
入口,いりぐち,4102
文章,ぶんしょう,4103
鼓動,こどう,4109
台所,だいどころ,4112
人達,ひとたち,4114
現代,げんだい,4115
弁当,べんとう,4118
顔面,がんめん,4119
目線,めせん,4123
権力,けんりょく,4124
突入,とつにゅう,4125
昼食,ちゅうしょく,4126
十二,じゅうに,4127
親戚,しんせき,4135
大陸,たいりく,4138
加減,かげん,4140
物音,ものおと,4141
祖父,そふ,4142
発想,はっそう,4143
敗北,はいぼく,4145
無限,むげん,4149
食料,しょくりょう,4154
数秒,すうびょう,4155
上昇,じょうしょう,4158
消費,しょうひ,4159
記事,きじ,4163
寝室,しんしつ,4170
夫人,ふじん,4171
高級,こうきゅう,4174
脅威,きょうい,4175
上司,じょうし,4178
用件,ようけん,4179
遅刻,ちこく,4181
食材,しょくざい,4182
取引,とりひき,4186
到底,とうてい,4210
職人,しょくにん,4213
同時,どうじ,4219
弱点,じゃくてん,4220
政府,せいふ,4222
確定,かくてい,4223
矛盾,むじゅん,4224
振動,しんどう,4226
帰宅,きたく,4230
再現,さいげん,4232
無力,むりょく,4234
愉快,ゆかい,4236
死亡,しぼう,4240
銀色,ぎんいろ,4248
静寂,せいじゃく,4250
夜空,よぞら,4251
構造,こうぞう,4254
大型,おおがた,4256
工場,こうじょう,4257
手配,てはい,4258
黄金,おうごん,4260
先頭,せんとう,4261
有効,ゆうこう,4263
何事,なにごと,4266
光栄,こうえい,4268
出番,でばん,4274
皮膚,ひふ,4275
二回,にかい,4276
支援,しえん,4279
進行,しんこう,4286
番号,ばんごう,4287
角度,かくど,4303
三度,さんど,4305
絶叫,ぜっきょう,4306
課題,かだい,4307
本番,ほんばん,4308
温泉,おんせん,4309
外部,がいぶ,4311
言動,げんどう,4313
経緯,いきさつ,4321
自室,じしつ,4322
爆弾,ばくだん,4323
豪華,ごうか,4329
仕業,しわざ,4330
硬直,こうちょく,4331
高度,こうど,4333
捜索,そうさく,4337
別人,べつじん,4349
博士,はかせ,4350
派遣,はけん,4351
身内,みうち,4357
体内,たいない,4358
独特,どくとく,4359
体温,たいおん,4362
気楽,きらく,4365
入院,にゅういん,4366
偉大,いだい,4373
住民,じゅうみん,4375
風邪,かぜ,4380
観念,かんねん,4404
登録,とうろく,4405
殺人,さつじん,4407
道路,どうろ,4408
懸命,けんめい,4414
中庭,なかにわ,4415
有利,ゆうり,4416
夕飯,ゆうはん,4417
探索,たんさく,4418
呪文,じゅもん,4423
誕生,たんじょう,4426
贅沢,ぜいたく,4427
監督,かんとく,4428
職員,しょくいん,4431
手間,てま,4433
上位,じょうい,4440
新人,しんじん,4445
気力,きりょく,4446
突撃,とつげき,4448
死者,ししゃ,4449
判明,はんめい,4451
人目,ひとめ,4454
証言,しょうげん,4455
勢力,せいりょく,4458
人格,じんかく,4464
上着,うわぎ,4470
五分,ごぶ,4471
緊急,きんきゅう,4473
決心,けっしん,4474
検査,けんさ,4476
運転,うんてん,4477
解散,かいさん,4478
不利,ふり,4479
